scaffold,start,end,mid,sites,pi_Species1,pi_Species2,dxy_Species1_Species2,Fst_Species1_Species2
1,7000001,7050000,7015645,2728,0.0594,0.124,0.1731,0.3147
1,7050001,7100000,7083290,3158,0.014,0.114,0.147,0.4326
1,7100001,7150000,7125220,5051,0.0605,0.1058,0.1654,0.3334
1,7150001,7200000,7175228,2513,0.038,0.1079,0.1565,0.3806
1,7200001,7250000,7222375,1783,0.0021,0.1195,0.1717,0.5324
1,7250001,7300000,7271250,1168,0.0055,0.0983,0.2232,0.668
1,7300001,7350000,7316124,1238,0.071,0.1235,0.1677,0.2681
1,7350001,7400000,7383350,1655,0.0275,0.1192,0.1882,0.4674
1,7400001,7450000,7426707,1058,0,0.1161,0.1964,0.6008
1,7450001,7500000,7474198,976,0.0194,0.0999,0.148,0.4574
1,7500001,7550000,7532481,970,0,0.1126,0.2078,0.6295
1,7550001,7600000,7576513,1045,0.014,0.1107,0.1611,0.4819
1,7700001,7750000,7729665,3454,0.063,0.1073,0.16,0.3073
1,7750001,7800000,7764868,1941,0.0383,0.1254,0.1733,0.3784
1,7800001,7850000,7821968,1033,2.00E-04,0.1126,0.1995,0.6156
1,7850001,7900000,7882784,913,0.0016,0.107,0.2554,0.6982
1,7900001,7950000,7924785,1773,0.0382,0.0958,0.2007,0.5134
1,7950001,8000000,7969453,899,0.0106,0.1125,0.1921,0.5586
1,8000001,8050000,8031974,1135,0.0219,0.1185,0.1936,0.5009
1,8050001,8100000,8076298,3418,0.0402,0.1121,0.1596,0.3701
1,8100001,8150000,8122037,3338,0.0013,0.1145,0.1238,0.4167
1,8150001,8200000,8189703,2575,0.0939,0.102,0.1623,0.2384
1,8200001,8250000,8221262,3135,0.0577,0.1016,0.1792,0.3878
1,8250001,8300000,8273361,4217,0.01,0.1157,0.2088,0.582
1,8300001,8350000,8325349,3698,0.0862,0.0986,0.2107,0.3803
1,8350001,8400000,8376329,1532,0.0752,0.1103,0.2026,0.3698
1,8400001,8450000,8418756,1392,0.0028,0.1142,0.1802,0.5636
1,8450001,8500000,8465597,819,0.0018,0.1195,0.1755,0.5419
1,8500001,8550000,8536304,2460,0,0.1173,0.2167,0.6312
1,8550001,8600000,8571222,2004,0,0.1081,0.1974,0.626
1,8600001,8650000,8610781,1854,0.0286,0.1109,0.2052,0.5184
1,8650001,8700000,8682946,626,0.0027,0.1188,0.1898,0.5694
1,8700001,8750000,8721062,1067,0,0.1157,0.1463,0.4915
1,8750001,8800000,8772289,1267,0.0064,0.1345,0.1958,0.5218
1,8800001,8850000,8837102,808,0.0186,0.1175,0.1861,0.5009
1,8850001,8900000,8870232,1872,0.0581,0.1192,0.1887,0.3683
1,8900001,8950000,8925511,1289,2.00E-04,0.1283,0.1501,0.4569
1,8950001,9000000,8975120,2136,0.004,0.1189,0.1722,0.527
1,9000001,9050000,9023344,971,8.00E-04,0.1255,0.176,0.5292
1,9050001,9100000,9074790,1249,0.0031,0.1238,0.1569,0.4778
1,9100001,9150000,9135124,1774,0.0018,0.1253,0.1558,0.4762
1,9150001,9200000,9165312,1600,0.0202,0.1333,0.1994,0.481
1,9200001,9250000,9218274,811,0.0249,0.1196,0.197,0.494
